pattern,count,tripnum,prob
A-B-C,2970,2,0.963035019
A-B-A,112,2,0.036316472
A-B-B,2,2,0.000648508
A-B-C-D,1524,3,0.888111888
A-B-C-B,91,3,0.053030303
A-B-A-C,47,3,0.027389277
A-B-C-A,41,3,0.023892774
A-B-A-B,11,3,0.006410256
A-B-B-C,1,3,0.000582751
A-A-A-B,1,3,0.000582751
A-B-C-D-E,775,4,0.815789474
A-B-C-B-D,47,4,0.049473684
A-B-A-C-D,29,4,0.030526316
A-B-C-D-B,25,4,0.026315789
A-B-C-D-C,21,4,0.022105263
A-B-C-D-A,19,4,0.02
A-B-C-A-D,19,4,0.02
A-B-C-B-C,4,4,0.004210526
A-B-A-C-A,3,4,0.003157895
A-B-A-B-C,3,4,0.003157895
A-B-C-B-A,2,4,0.002105263
A-B-A-B-A,2,4,0.002105263
A-B-C-A-B,1,4,0.001052632
A-B-C-D-E-F,378,5,0.713207547
A-B-C-B-D-E,23,5,0.043396226
A-B-C-D-E-B,15,5,0.028301887
A-B-C-A-D-E,13,5,0.024528302
A-B-C-D-C-E,13,5,0.024528302
A-B-A-C-D-E,13,5,0.024528302
A-B-C-D-B-E,12,5,0.022641509
A-B-C-D-E-A,12,5,0.022641509
A-B-C-D-A-E,10,5,0.018867925
A-B-C-D-E-D,7,5,0.013207547
A-B-C-D-E-C,5,5,0.009433962
A-B-C-B-C-D,3,5,0.005660377
A-B-C-B-A-D,3,5,0.005660377
A-B-C-B-D-B,2,5,0.003773585
A-B-C-A-B-D,2,5,0.003773585
A-B-C-A-B-C,2,5,0.003773585
A-B-C-B-A-B,2,5,0.003773585
A-B-A-C-A-D,2,5,0.003773585
A-B-C-D-C-D,2,5,0.003773585
A-B-C-A-D-A,2,5,0.003773585
A-B-C-D-B-C,1,5,0.001886792
A-B-C-D-C-B,1,5,0.001886792
A-B-C-D-D-E,1,5,0.001886792
A-B-C-A-D-C,1,5,0.001886792
A-B-C-D-A-B,1,5,0.001886792
A-B-A-C-A-B,1,5,0.001886792
A-B-A-B-C-A,1,5,0.001886792
A-B-A-B-A-B,1,5,0.001886792
A-B-C-D-C-C,1,5,0.001886792
A-B-C-D-E-F-G,158,6,0.61003861
A-B-C-D-E-A-F,9,6,0.034749035
