id,left,top,right,bottom,x,y,admin,volume,firstgridprob,desgridprob
4,15467049.27,4283653.657,15468049.27,4282653.657,0,51,奥多摩町,346,1.19E-05,0
5,15467049.27,4282653.657,15468049.27,4281653.657,0,50,奥多摩町,346,1.19E-05,0
6,15467049.27,4281653.657,15468049.27,4280653.657,0,49,奥多摩町,346,1.19E-05,0
7,15467049.27,4280653.657,15468049.27,4279653.657,0,48,奥多摩町,346,1.19E-05,0
8,15467049.27,4279653.657,15468049.27,4278653.657,0,47,奥多摩町,346,1.19E-05,0
9,15467049.27,4278653.657,15468049.27,4277653.657,0,46,奥多摩町,346,1.19E-05,0
58,15468049.27,4284653.657,15469049.27,4283653.657,1,52,奥多摩町,346,1.19E-05,0
59,15468049.27,4283653.657,15469049.27,4282653.657,1,51,奥多摩町,346,1.19E-05,0
60,15468049.27,4282653.657,15469049.27,4281653.657,1,50,奥多摩町,346,1.19E-05,0
61,15468049.27,4281653.657,15469049.27,4280653.657,1,49,奥多摩町,346,1.19E-05,0
62,15468049.27,4280653.657,15469049.27,4279653.657,1,48,奥多摩町,346,1.19E-05,0
63,15468049.27,4279653.657,15469049.27,4278653.657,1,47,奥多摩町,346,1.19E-05,0
64,15468049.27,4278653.657,15469049.27,4277653.657,1,46,奥多摩町,346,1.19E-05,0
65,15468049.27,4277653.657,15469049.27,4276653.657,1,45,奥多摩町,346,1.19E-05,0
113,15469049.27,4284653.657,15470049.27,4283653.657,2,52,奥多摩町,346,1.19E-05,0
114,15469049.27,4283653.657,15470049.27,4282653.657,2,51,奥多摩町,346,1.19E-05,0
115,15469049.27,4282653.657,15470049.27,4281653.657,2,50,奥多摩町,346,1.19E-05,0
116,15469049.27,4281653.657,15470049.27,4280653.657,2,49,奥多摩町,346,1.19E-05,0
117,15469049.27,4280653.657,15470049.27,4279653.657,2,48,奥多摩町,346,1.19E-05,0
118,15469049.27,4279653.657,15470049.27,4278653.657,2,47,奥多摩町,346,1.19E-05,0
119,15469049.27,4278653.657,15470049.27,4277653.657,2,46,奥多摩町,346,1.19E-05,0
120,15469049.27,4277653.657,15470049.27,4276653.657,2,45,奥多摩町,346,1.19E-05,0
121,15469049.27,4276653.657,15470049.27,4275653.657,2,44,奥多摩町,346,1.19E-05,0
122,15469049.27,4275653.657,15470049.27,4274653.657,2,43,奥多摩町,346,1.19E-05,0
167,15470049.27,4285653.657,15471049.27,4284653.657,3,53,奥多摩町,346,1.19E-05,0
168,15470049.27,4284653.657,15471049.27,4283653.657,3,52,奥多摩町,346,1.19E-05,0
169,15470049.27,4283653.657,15471049.27,4282653.657,3,51,奥多摩町,346,1.19E-05,0
170,15470049.27,4282653.657,15471049.27,4281653.657,3,50,奥多摩町,346,1.19E-05,0
171,15470049.27,4281653.657,15471049.27,4280653.657,3,49,奥多摩町,346,1.19E-05,0
172,15470049.27,4280653.657,15471049.27,4279653.657,3,48,奥多摩町,346,1.19E-05,0
173,15470049.27,4279653.657,15471049.27,4278653.657,3,47,奥多摩町,346,1.19E-05,0
174,15470049.27,4278653.657,15471049.27,4277653.657,3,46,奥多摩町,346,1.19E-05,0
175,15470049.27,4277653.657,15471049.27,4276653.657,3,45,奥多摩町,346,1.19E-05,0
176,15470049.27,4276653.657,15471049.27,4275653.657,3,44,奥多摩町,346,1.19E-05,0
177,15470049.27,4275653.657,15471049.27,4274653.657,3,43,奥多摩町,346,1.19E-05,0
178,15470049.27,4274653.657,15471049.27,4273653.657,3,42,奥多摩町,346,1.19E-05,0
179,15470049.27,4273653.657,15471049.27,4272653.657,3,41,奥多摩町,346,1.19E-05,0
180,15470049.27,4272653.657,15471049.27,4271653.657,3,40,奥多摩町,346,1.19E-05,0
181,15470049.27,4271653.657,15471049.27,4270653.657,3,39,奥多摩町,346,1.19E-05,0
222,15471049.27,4285653.657,15472049.27,4284653.657,4,53,奥多摩町,346,1.19E-05,0
223,15471049.27,4284653.657,15472049.27,4283653.657,4,52,奥多摩町,346,1.19E-05,0
224,15471049.27,4283653.657,15472049.27,4282653.657,4,51,奥多摩町,346,1.19E-05,0
225,15471049.27,4282653.657,15472049.27,4281653.657,4,50,奥多摩町,346,1.19E-05,0
226,15471049.27,4281653.657,15472049.27,4280653.657,4,49,奥多摩町,346,1.19E-05,0
227,15471049.27,4280653.657,15472049.27,4279653.657,4,48,奥多摩町,346,1.19E-05,0
228,15471049.27,4279653.657,15472049.27,4278653.657,4,47,奥多摩町,346,1.19E-05,0
229,15471049.27,4278653.657,15472049.27,4277653.657,4,46,奥多摩町,346,1.19E-05,0
230,15471049.27,4277653.657,15472049.27,4276653.657,4,45,奥多摩町,346,1.19E-05,0
231,15471049.27,4276653.657,15472049.27,4275653.657,4,44,奥多摩町,346,1.19E-05,0
232,15471049.27,4275653.657,15472049.27,4274653.657,4,43,奥多摩町,346,1.19E-05,0
233,15471049.27,4274653.657,15472049.27,4273653.657,4,42,奥多摩町,346,1.19E-05,0
234,15471049.27,4273653.657,15472049.27,4272653.657,4,41,奥多摩町,346,1.19E-05,0
235,15471049.27,4272653.657,15472049.27,4271653.657,4,40,奥多摩町,346,1.19E-05,0
236,15471049.27,4271653.657,15472049.27,4270653.657,4,39,奥多摩町,346,1.19E-05,0
237,15471049.27,4270653.657,15472049.27,4269653.657,4,38,奥多摩町,346,1.19E-05,0
238,15471049.27,4269653.657,15472049.27,4268653.657,4,37,奥多摩町,346,1.19E-05,0
239,15471049.27,4268653.657,15472049.27,4267653.657,4,36,奥多摩町,346,1.19E-05,0
277,15472049.27,4285653.657,15473049.27,4284653.657,5,53,奥多摩町,346,1.19E-05,0
278,15472049.27,4284653.657,15473049.27,4283653.657,5,52,奥多摩町,346,1.19E-05,0
279,15472049.27,4283653.657,15473049.27,4282653.657,5,51,奥多摩町,346,1.19E-05,0
280,15472049.27,4282653.657,15473049.27,4281653.657,5,50,奥多摩町,346,1.19E-05,0
281,15472049.27,4281653.657,15473049.27,4280653.657,5,49,奥多摩町,346,1.19E-05,0
282,15472049.27,4280653.657,15473049.27,4279653.657,5,48,奥多摩町,346,1.19E-05,0
283,15472049.27,4279653.657,15473049.27,4278653.657,5,47,奥多摩町,346,1.19E-05,0
284,15472049.27,4278653.657,15473049.27,4277653.657,5,46,奥多摩町,346,1.19E-05,0
285,15472049.27,4277653.657,15473049.27,4276653.657,5,45,奥多摩町,346,1.19E-05,0
286,15472049.27,4276653.657,15473049.27,4275653.657,5,44,奥多摩町,346,1.19E-05,0
287,15472049.27,4275653.657,15473049.27,4274653.657,5,43,奥多摩町,346,1.19E-05,0
288,15472049.27,4274653.657,15473049.27,4273653.657,5,42,奥多摩町,346,1.19E-05,0
289,15472049.27,4273653.657,15473049.27,4272653.657,5,41,奥多摩町,346,1.19E-05,0
290,15472049.27,4272653.657,15473049.27,4271653.657,5,40,奥多摩町,346,1.19E-05,0
291,15472049.27,4271653.657,15473049.27,4270653.657,5,39,奥多摩町,346,1.19E-05,0
292,15472049.27,4270653.657,15473049.27,4269653.657,5,38,奥多摩町,346,1.19E-05,0
293,15472049.27,4269653.657,15473049.27,4268653.657,5,37,奥多摩町,346,1.19E-05,0
294,15472049.27,4268653.657,15473049.27,4267653.657,5,36,奥多摩町,346,1.19E-05,0
295,15472049.27,4267653.657,15473049.27,4266653.657,5,35,奥多摩町,346,1.19E-05,0
332,15473049.27,4285653.657,15474049.27,4284653.657,6,53,奥多摩町,346,1.19E-05,0
333,15473049.27,4284653.657,15474049.27,4283653.657,6,52,奥多摩町,346,1.19E-05,0
334,15473049.27,4283653.657,15474049.27,4282653.657,6,51,奥多摩町,346,1.19E-05,0
335,15473049.27,4282653.657,15474049.27,4281653.657,6,50,奥多摩町,346,1.19E-05,0
336,15473049.27,4281653.657,15474049.27,4280653.657,6,49,奥多摩町,346,1.19E-05,0
337,15473049.27,4280653.657,15474049.27,4279653.657,6,48,奥多摩町,346,1.19E-05,0
338,15473049.27,4279653.657,15474049.27,4278653.657,6,47,奥多摩町,346,1.19E-05,0
339,15473049.27,4278653.657,15474049.27,4277653.657,6,46,奥多摩町,346,1.19E-05,0
340,15473049.27,4277653.657,15474049.27,4276653.657,6,45,奥多摩町,346,1.19E-05,0
341,15473049.27,4276653.657,15474049.27,4275653.657,6,44,奥多摩町,346,1.19E-05,0
342,15473049.27,4275653.657,15474049.27,4274653.657,6,43,奥多摩町,346,1.19E-05,0
343,15473049.27,4274653.657,15474049.27,4273653.657,6,42,奥多摩町,346,1.19E-05,0
344,15473049.27,4273653.657,15474049.27,4272653.657,6,41,奥多摩町,346,1.19E-05,0
345,15473049.27,4272653.657,15474049.27,4271653.657,6,40,奥多摩町,346,1.19E-05,0
346,15473049.27,4271653.657,15474049.27,4270653.657,6,39,奥多摩町,346,1.19E-05,0
347,15473049.27,4270653.657,15474049.27,4269653.657,6,38,奥多摩町,346,1.19E-05,0
348,15473049.27,4269653.657,15474049.27,4268653.657,6,37,奥多摩町,346,1.19E-05,0
349,15473049.27,4268653.657,15474049.27,4267653.657,6,36,奥多摩町,346,1.19E-05,0
350,15473049.27,4267653.657,15474049.27,4266653.657,6,35,奥多摩町,346,1.19E-05,0
351,15473049.27,4266653.657,15474049.27,4265653.657,6,34,奥多摩町,346,1.19E-05,0
386,15474049.27,4286653.657,15475049.27,4285653.657,7,54,奥多摩町,346,1.19E-05,0
387,15474049.27,4285653.657,15475049.27,4284653.657,7,53,奥多摩町,346,1.19E-05,0
388,15474049.27,4284653.657,15475049.27,4283653.657,7,52,奥多摩町,346,1.19E-05,0
389,15474049.27,4283653.657,15475049.27,4282653.657,7,51,奥多摩町,346,1.19E-05,0
390,15474049.27,4282653.657,15475049.27,4281653.657,7,50,奥多摩町,346,1.19E-05,0
391,15474049.27,4281653.657,15475049.27,4280653.657,7,49,奥多摩町,346,1.19E-05,0
392,15474049.27,4280653.657,15475049.27,4279653.657,7,48,奥多摩町,346,1.19E-05,0
393,15474049.27,4279653.657,15475049.27,4278653.657,7,47,奥多摩町,346,1.19E-05,0
394,15474049.27,4278653.657,15475049.27,4277653.657,7,46,奥多摩町,346,1.19E-05,0
395,15474049.27,4277653.657,15475049.27,4276653.657,7,45,奥多摩町,346,1.19E-05,0
396,15474049.27,4276653.657,15475049.27,4275653.657,7,44,奥多摩町,346,1.19E-05,0
397,15474049.27,4275653.657,15475049.27,4274653.657,7,43,奥多摩町,346,1.19E-05,0
398,15474049.27,4274653.657,15475049.27,4273653.657,7,42,奥多摩町,346,1.19E-05,0
399,15474049.27,4273653.657,15475049.27,4272653.657,7,41,奥多摩町,346,1.19E-05,0
400,15474049.27,4272653.657,15475049.27,4271653.657,7,40,奥多摩町,346,1.19E-05,0
401,15474049.27,4271653.657,15475049.27,4270653.657,7,39,奥多摩町,346,1.19E-05,0
402,15474049.27,4270653.657,15475049.27,4269653.657,7,38,奥多摩町,346,1.19E-05,0
403,15474049.27,4269653.657,15475049.27,4268653.657,7,37,奥多摩町,346,1.19E-05,0
404,15474049.27,4268653.657,15475049.27,4267653.657,7,36,奥多摩町,346,1.19E-05,0
405,15474049.27,4267653.657,15475049.27,4266653.657,7,35,奥多摩町,346,1.19E-05,0
406,15474049.27,4266653.657,15475049.27,4265653.657,7,34,奥多摩町,346,1.19E-05,0
407,15474049.27,4265653.657,15475049.27,4264653.657,7,33,奥多摩町,346,1.19E-05,0
408,15474049.27,4264653.657,15475049.27,4263653.657,7,32,檜原村,204,7.00E-06,0
441,15475049.27,4286653.657,15476049.27,4285653.657,8,54,奥多摩町,346,1.19E-05,0
442,15475049.27,4285653.657,15476049.27,4284653.657,8,53,奥多摩町,346,1.19E-05,0
443,15475049.27,4284653.657,15476049.27,4283653.657,8,52,奥多摩町,346,1.19E-05,0
444,15475049.27,4283653.657,15476049.27,4282653.657,8,51,奥多摩町,346,1.19E-05,0
445,15475049.27,4282653.657,15476049.27,4281653.657,8,50,奥多摩町,346,1.19E-05,0
446,15475049.27,4281653.657,15476049.27,4280653.657,8,49,奥多摩町,346,1.19E-05,0
447,15475049.27,4280653.657,15476049.27,4279653.657,8,48,奥多摩町,346,1.19E-05,0
448,15475049.27,4279653.657,15476049.27,4278653.657,8,47,奥多摩町,346,1.19E-05,0
449,15475049.27,4278653.657,15476049.27,4277653.657,8,46,奥多摩町,346,1.19E-05,0
450,15475049.27,4277653.657,15476049.27,4276653.657,8,45,奥多摩町,346,1.19E-05,0
451,15475049.27,4276653.657,15476049.27,4275653.657,8,44,奥多摩町,346,1.19E-05,0
452,15475049.27,4275653.657,15476049.27,4274653.657,8,43,奥多摩町,346,1.19E-05,0
453,15475049.27,4274653.657,15476049.27,4273653.657,8,42,奥多摩町,346,1.19E-05,0
454,15475049.27,4273653.657,15476049.27,4272653.657,8,41,奥多摩町,346,1.19E-05,0
455,15475049.27,4272653.657,15476049.27,4271653.657,8,40,奥多摩町,346,1.19E-05,0
456,15475049.27,4271653.657,15476049.27,4270653.657,8,39,奥多摩町,346,1.19E-05,0
457,15475049.27,4270653.657,15476049.27,4269653.657,8,38,奥多摩町,346,1.19E-05,1.26791E-05
458,15475049.27,4269653.657,15476049.27,4268653.657,8,37,奥多摩町,346,1.19E-05,0
459,15475049.27,4268653.657,15476049.27,4267653.657,8,36,奥多摩町,346,1.19E-05,0
460,15475049.27,4267653.657,15476049.27,4266653.657,8,35,奥多摩町,346,1.19E-05,0
461,15475049.27,4266653.657,15476049.27,4265653.657,8,34,奥多摩町,346,1.19E-05,0
462,15475049.27,4265653.657,15476049.27,4264653.657,8,33,奥多摩町,346,1.19E-05,0
463,15475049.27,4264653.657,15476049.27,4263653.657,8,32,檜原村,204,7.00E-06,0
464,15475049.27,4263653.657,15476049.27,4262653.657,8,31,檜原村,204,7.00E-06,0
465,15475049.27,4262653.657,15476049.27,4261653.657,8,30,檜原村,204,7.00E-06,0
496,15476049.27,4286653.657,15477049.27,4285653.657,9,54,奥多摩町,346,1.19E-05,0
497,15476049.27,4285653.657,15477049.27,4284653.657,9,53,奥多摩町,346,1.19E-05,0
498,15476049.27,4284653.657,15477049.27,4283653.657,9,52,奥多摩町,346,1.19E-05,0
499,15476049.27,4283653.657,15477049.27,4282653.657,9,51,奥多摩町,346,1.19E-05,0
500,15476049.27,4282653.657,15477049.27,4281653.657,9,50,奥多摩町,346,1.19E-05,0
501,15476049.27,4281653.657,15477049.27,4280653.657,9,49,奥多摩町,346,1.19E-05,0
502,15476049.27,4280653.657,15477049.27,4279653.657,9,48,奥多摩町,346,1.19E-05,0
503,15476049.27,4279653.657,15477049.27,4278653.657,9,47,奥多摩町,346,1.19E-05,0
504,15476049.27,4278653.657,15477049.27,4277653.657,9,46,奥多摩町,346,1.19E-05,0
505,15476049.27,4277653.657,15477049.27,4276653.657,9,45,奥多摩町,346,1.19E-05,0
506,15476049.27,4276653.657,15477049.27,4275653.657,9,44,奥多摩町,346,1.19E-05,0
507,15476049.27,4275653.657,15477049.27,4274653.657,9,43,奥多摩町,346,1.19E-05,0
508,15476049.27,4274653.657,15477049.27,4273653.657,9,42,奥多摩町,346,1.19E-05,0
509,15476049.27,4273653.657,15477049.27,4272653.657,9,41,奥多摩町,346,1.19E-05,0
510,15476049.27,4272653.657,15477049.27,4271653.657,9,40,奥多摩町,346,1.19E-05,0
511,15476049.27,4271653.657,15477049.27,4270653.657,9,39,奥多摩町,346,1.19E-05,0
512,15476049.27,4270653.657,15477049.27,4269653.657,9,38,奥多摩町,346,1.19E-05,0
513,15476049.27,4269653.657,15477049.27,4268653.657,9,37,奥多摩町,346,1.19E-05,0
514,15476049.27,4268653.657,15477049.27,4267653.657,9,36,奥多摩町,346,1.19E-05,0
515,15476049.27,4267653.657,15477049.27,4266653.657,9,35,奥多摩町,346,1.19E-05,0
516,15476049.27,4266653.657,15477049.27,4265653.657,9,34,奥多摩町,346,1.19E-05,0
517,15476049.27,4265653.657,15477049.27,4264653.657,9,33,檜原村,204,7.00E-06,0
518,15476049.27,4264653.657,15477049.27,4263653.657,9,32,檜原村,204,7.00E-06,0
519,15476049.27,4263653.657,15477049.27,4262653.657,9,31,檜原村,204,7.00E-06,0
520,15476049.27,4262653.657,15477049.27,4261653.657,9,30,檜原村,204,7.00E-06,0
521,15476049.27,4261653.657,15477049.27,4260653.657,9,29,檜原村,204,7.00E-06,0
551,15477049.27,4286653.657,15478049.27,4285653.657,10,54,奥多摩町,346,1.19E-05,0
552,15477049.27,4285653.657,15478049.27,4284653.657,10,53,奥多摩町,346,1.19E-05,0
553,15477049.27,4284653.657,15478049.27,4283653.657,10,52,奥多摩町,346,1.19E-05,0
554,15477049.27,4283653.657,15478049.27,4282653.657,10,51,奥多摩町,346,1.19E-05,0
555,15477049.27,4282653.657,15478049.27,4281653.657,10,50,奥多摩町,346,1.19E-05,0
556,15477049.27,4281653.657,15478049.27,4280653.657,10,49,奥多摩町,346,1.19E-05,0
557,15477049.27,4280653.657,15478049.27,4279653.657,10,48,奥多摩町,346,1.19E-05,0
558,15477049.27,4279653.657,15478049.27,4278653.657,10,47,奥多摩町,346,1.19E-05,1.35567E-05
559,15477049.27,4278653.657,15478049.27,4277653.657,10,46,奥多摩町,346,1.19E-05,0
560,15477049.27,4277653.657,15478049.27,4276653.657,10,45,奥多摩町,346,1.19E-05,0
561,15477049.27,4276653.657,15478049.27,4275653.657,10,44,奥多摩町,346,1.19E-05,0
562,15477049.27,4275653.657,15478049.27,4274653.657,10,43,奥多摩町,346,1.19E-05,0
563,15477049.27,4274653.657,15478049.27,4273653.657,10,42,奥多摩町,346,1.19E-05,0
564,15477049.27,4273653.657,15478049.27,4272653.657,10,41,奥多摩町,346,1.19E-05,0
565,15477049.27,4272653.657,15478049.27,4271653.657,10,40,奥多摩町,346,1.19E-05,0
